,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,한국주택금융공사,KR354416GC51,사회적채권,한국주택금융공사MBS2022-10(1-6)(사),"2022/05/30","2022/05/24","2032/05/24","4.03700","110,000","110,000",특수채
,한국주택금융공사,KR354416GC69,사회적채권,한국주택금융공사MBS2022-13(1-1)(사),"2022/07/04","2022/06/28","2023/06/28","3.44100","46,200","46,200",특수채
,한국주택금융공사,KR354416GC77,사회적채권,한국주택금융공사MBS2022-15(1-8)(사),"2022/07/28","2022/07/22","2042/07/22","4.01200","10,000","10,000",특수채
,한국주택금융공사,KR354416GC85,사회적채권,한국주택금융공사MBS2022-17(1-5)(사),"2022/08/29","2022/08/23","2029/08/23","4.18000","140,000","140,000",특수채
,한국주택금융공사,KR354417G9B3,사회적채권,한국주택금융공사MBS2019-23(1-8)(사),"2019/11/25","2019/11/19","2039/11/19","2.02000","30,000","30,000",특수채
,한국주택금융공사,KR354417GA45,사회적채권,한국주택금융공사MBS2020-11(1-5)(사),"2020/04/27","2020/04/21","2027/04/21","1.71000","90,000","90,000",특수채
,한국주택금융공사,KR354417GA52,사회적채권,한국주택금융공사MBS2020-15(1-5)(사),"2020/05/25","2020/05/19","2027/05/19","1.80400","120,000","120,000",특수채
,한국주택금융공사,KR354417GA60,사회적채권,한국주택금융공사MBS2020-19(1-8)(사),"2020/06/22","2020/06/16","2040/06/16","1.79000","30,000","30,000",특수채
,한국주택금융공사,KR354417GAA3,사회적채권,한국주택금융공사MBS2020-34(1-4)(사),"2020/11/02","2020/10/27","2040/10/27","1.83400","60,000","60,000",특수채
,한국주택금융공사,KR354417GAB1,사회적채권,한국주택금융공사MBS2020-37(1-4)(사),"2020/11/30","2020/11/24","2040/11/24","1.85600","70,000","70,000",특수채
,한국주택금융공사,KR354417GAC9,사회적채권,한국주택금융공사MBS2020-39(1-8)(사),"2020/12/17","2020/12/11","2040/12/11","1.97900","20,000","20,000",특수채
,한국주택금융공사,KR354417GB10,사회적채권,한국주택금융공사MBS2021-2(1-8)(사),"2021/01/28","2021/01/22","2041/01/22","2.03400","30,000","30,000",특수채
,한국주택금융공사,KR354417GB36,사회적채권,한국주택금융공사MBS2021-6(1-8)(사),"2021/04/01","2021/03/26","2041/03/26","2.32100","40,000","40,000",특수채
,한국주택금융공사,KR354417GB44,사회적채권,한국주택금융공사MBS2021-8(1-8)(사),"2021/04/19","2021/04/13","2041/04/13","2.44100","40,000","40,000",특수채
,한국주택금융공사,KR354417GB51,사회적채권,한국주택금융공사MBS2021-12(1-4)(사),"2021/05/31","2021/05/25","2026/05/25","1.91200","510,000","510,000",특수채
,한국주택금융공사,KR354417GB69,사회적채권,한국주택금융공사MBS2021-14(1-8)(사),"2021/07/01","2021/06/25","2041/06/25","2.44500","40,000","40,000",특수채
,한국주택금융공사,KR354417GC27,사회적채권,한국주택금융공사MBS2022-3(1-7)(사),"2022/02/28","2022/02/22","2037/02/22","3.33700","80,000","80,000",특수채
,한국주택금융공사,KR354417GC43,사회적채권,한국주택금융공사MBS2022-7(1-7)(사),"2022/04/25","2022/04/19","2037/04/19","4.07700","30,000","30,000",특수채
,한국주택금융공사,KR354417GC50,사회적채권,한국주택금융공사MBS2022-10(1-7)(사),"2022/05/30","2022/05/24","2037/05/24","4.05800","80,000","80,000",특수채
,한국주택금융공사,KR354417GC68,사회적채권,한국주택금융공사MBS2022-13(1-2)(사),"2022/07/04","2022/06/28","2024/06/28","3.84200","50,000","50,000",특수채
,한국주택금융공사,KR354417GC76,사회적채권,한국주택금융공사MBS2022-15(1-9)(사),"2022/07/28","2022/07/22","2052/07/22","3.89000","10,000","10,000",특수채
,한국주택금융공사,KR354417GC84,사회적채권,한국주택금융공사MBS2022-17(1-6)(사),"2022/08/29","2022/08/23","2032/08/23","4.20500","120,000","120,000",특수채
,한국주택금융공사,KR354418GA44,사회적채권,한국주택금융공사MBS2020-11(1-6)(사),"2020/04/27","2020/04/21","2030/04/21","1.74300","80,000","80,000",특수채
,한국주택금융공사,KR354418GA51,사회적채권,한국주택금융공사MBS2020-15(1-6)(사),"2020/05/25","2020/05/19","2030/05/19","1.86300","80,000","80,000",특수채
,한국주택금융공사,KR354418GAC7,사회적채권,한국주택금융공사MBS2020-39(1-9)(사),"2020/12/17","2020/12/11","2050/12/11","1.96500","10,000","10,000",특수채
,한국주택금융공사,KR354418GB19,사회적채권,한국주택금융공사MBS2021-2(1-9)(사),"2021/01/28","2021/01/22","2051/01/22","2.02400","10,000","10,000",특수채
,한국주택금융공사,KR354418GB35,사회적채권,한국주택금융공사MBS2021-6(1-9)(사),"2021/04/01","2021/03/26","2051/03/26","2.29600","10,000","10,000",특수채
,한국주택금융공사,KR354418GB43,사회적채권,한국주택금융공사MBS2021-8(1-9)(사),"2021/04/19","2021/04/13","2051/04/13","2.42700","10,000","10,000",특수채
