CODE,CO_NM,major_hldr,minor_hldr
028100,동아지질,0.43270000000000003,0.04
006490,인스코비,0.1027,0.08
068290,삼성출판사,0.6448999999999999,0.03
002390,한독,0.4338,0.04
035510,신세계 I&C,0.713,0.02
003570,SNT중공업,0.45280000000000004,0.03
003060,에이프로젠제약,0.45049999999999996,0.05
128820,대성산업,0.7068000000000001,0.05
001130,대한제분,0.4243,0.04
025000,KPX케미칼,0.5106,0.02
079980,휴비스,0.51,0.03
012610,경인양행,0.3357,
000230,일동홀딩스,0.4668,0.03
008040,사조동아원,0.5219,0.04
044450,KSS해운,0.30269999999999997,0.06
033180,KH 필룩스,0.19010000000000002,0.07
039570,HDC아이콘트롤스,0.5737,0.02
001270,부국증권,0.39759999999999995,0.01
001940,KISCO홀딩스,0.4545,0.01
200880,서연이화,1.1412,0.04
031440,신세계푸드,0.5555,0.03
002100,경농,0.6681,0.02
011280,태림포장,0.7156,0.02
001360,삼성제약,0.14980000000000002,0.08
035150,백산,0.5205,
015360,예스코홀딩스,0.6851999999999999,0.01
000540,흥국화재,0.7918999999999999,0.01
000680,LS네트웍스,0.818,0.01
014280,금강공업,0.39740000000000003,0.05
006880,신송홀딩스,0.5895,0.03
004360,세방,0.49700000000000005,0.04
002140,고려산업,0.474,0.04
234080,JW생명과학,0.4311,0.05
101530,해태제과식품,0.71,0.02
001340,백광산업,0.43979999999999997,0.05
011500,한농화성,0.4767,0.04
002210,동성제약,0.21230000000000002,0.06
